ID,Name,Concepticon_ID,Concepticon_Gloss,Number,NumberValue
1_one,one,1493,ONE,1,
2_two,two,1498,TWO,2,
3_three,three,492,THREE,3,
4_four,four,1500,FOUR,4,
5_five,five,493,FIVE,5,
6_six,six,1703,SIX,6,
7_seven,seven,1704,SEVEN,7,
8_eight,eight,1705,EIGHT,8,
9_nine,nine,1483,NINE,9,
10_ten,ten,1515,TEN,10,
11_eleven,eleven,1706,ELEVEN,11,
12_twelve,twelve,1707,TWELVE,12,
13_thirteen,thirteen,1708,THIRTEEN,13,
14_fourteen,fourteen,2451,FOURTEEN,14,
15_fifteen,fifteen,1709,FIFTEEN,15,
16_sixteen,sixteen,2454,SIXTEEN,16,
17_seventeen,seventeen,2453,SEVENTEEN,17,
18_eighteen,eighteen,1713,EIGHTEEN,18,
19_nineteen,nineteen,1714,NINETEEN,19,
20_twenty,twenty,1710,TWENTY,20,
21_twentyone,twenty one,1734,TWENTY ONE,21,
22_twentytwo,twenty two,3166,TWENTY TWO,22,
23_twentythree,twenty three,3165,TWENTY THREE,23,
24_twentyfour,twenty four,1736,TWENTY FOUR,24,
25_twentyfive,twenty five,1738,TWENTY FIVE,25,
26_twentysix,twenty six,3476,TWENTY SIX,26,
27_twentyseven,twenty seven,3477,TWENTY SEVEN,27,
28_twentyeight,twenty eight,3478,TWENTY EIGHT,28,
29_twentynine,twenty nine,3479,TWENTY NINE,29,
30_thirty,thirty,1715,THIRTY,30,
31_thirtyone,thirty one,3480,THIRTY ONE,31,
32_thirtytwo,thirty two,3481,THIRTY TWO,32,
33_thirtythree,thirty three,3482,THIRTY THREE,33,
34_thirtyfour,thirty four,3483,THIRTY FOUR,34,
35_thirtyfive,thirty five,3484,THIRTY FIVE,35,
36_thirtysix,thirty six,3485,THIRTY SIX,36,
37_thirtyseven,thirty seven,3486,THIRTY SEVEN,37,
38_thirtyeight,thirty eight,3487,THIRTY EIGHT,38,
39_thirtynine,thirty nine,3488,THIRTY NINE,39,
40_forty,forty,1716,FORTY,40,
41_fortyone,forty one,3556,FORTY ONE,41,
42_fortytwo,forty two,3557,FORTY TWO,42,
43_fortythree,forty three,3489,FORTY THREE,43,
44_fortyfour,forty four,3490,FORTY FOUR,44,
45_fortyfive,forty five,3491,FORTY FIVE,45,
46_fortysix,forty six,3558,FORTY SIX,46,
47_fortyseven,forty seven,3559,FORTY SEVEN,47,
48_fortyeight,forty eight,3492,FORTY EIGHT,48,
49_fortynine,forty nine,3560,FORTY NINE,49,
50_fifty,fifty,1717,FIFTY,50,
51_fiftyone,fifty one,3561,FIFTY ONE,51,
52_fiftytwo,fifty two,3562,FIFTY TWO,52,
53_fiftythree,fifty three,3493,FIFTY THREE,53,
54_fiftyfour,fifty four,3563,FIFTY FOUR,54,
55_fiftyfive,fifty five,3494,FIFTY FIVE,55,
56_fiftysix,fifty six,3564,FIFTY SIX,56,
57_fiftyseven,fifty seven,3565,FIFTY SEVEN,57,
58_fiftyeight,fifty eight,3566,FIFTY EIGHT,58,
59_fiftynine,fifty nine,3567,FIFTY NINE,59,
60_sixty,sixty,1718,SIXTY,60,
61_sixtyone,sixty one,3568,SIXTY ONE,61,
62_sixtytwo,sixty two,3569,SIXTY TWO,62,
63_sixtythree,sixty three,3495,SIXTY THREE,63,
64_sixtyfour,sixty four,3570,SIXTY FOUR,64,
65_sixtyfive,sixty five,3571,SIXTY FIVE,65,
66_sixtysix,sixty six,3572,SIXTY SIX,66,
67_sixtyseven,sixty seven,3573,SIXTY SEVEN,67,
68_sixtyeight,sixty eight,3574,SIXTY EIGHT,68,
69_sixtynine,sixty nine,3575,SIXTY NINE,69,
70_seventy,seventy,1721,SEVENTY,70,
71_seventyone,seventy one,3576,SEVENTY ONE,71,
72_seventytwo,seventy two,3496,SEVENTY TWO,72,
73_seventythree,seventy three,3497,SEVENTY THREE,73,
74_seventyfour,seventy four,3577,SEVENTY FOUR,74,
75_seventyfive,seventy five,3578,SEVENTY FIVE,75,
76_seventysix,seventy six,3579,SEVENTY SIX,76,
77_seventyseven,seventy seven,3580,SEVENTY SEVEN,77,
78_seventyeight,seventy eight,3581,SEVENTY EIGHT,78,
79_seventynine,seventy nine,3582,SEVENTY NINE,79,
80_eighty,eighty,1722,EIGHTY,80,
81_eightyone,eighty one,3583,EIGHTY ONE,81,
82_eightytwo,eighty two,3584,EIGHTY TWO,82,
83_eightythree,eighty three,3498,EIGHTY THREE,83,
84_eightyfour,eighty four,3585,EIGHTY FOUR,84,
85_eightyfive,eighty five,3586,EIGHTY FIVE,85,
86_eightysix,eighty six,3587,EIGHTY SIX,86,
87_eightyseven,eighty seven,3588,EIGHTY SEVEN,87,
88_eightyeight,eighty eight,3589,EIGHTY EIGHT,88,
89_eightynine,eighty nine,3590,EIGHTY NINE,89,
90_ninety,ninety,1724,NINETY,90,
91_ninetyone,ninety one,3499,NINETY ONE,91,
92_ninetytwo,ninety two,3591,NINETY TWO,92,
93_ninetythree,ninety three,3592,NINETY THREE,93,
94_ninetyfour,ninety four,3593,NINETY FOUR,94,
95_ninetyfive,ninety five,3594,NINETY FIVE,95,
96_ninetysix,ninety six,3500,NINETY SIX,96,
97_ninetyseven,ninety seven,3595,NINETY SEVEN,97,
98_ninetyeight,ninety eight,3596,NINETY EIGHT,98,
99_ninetynine,ninety nine,3501,NINETY NINE,99,
100_hundred,hundred,1634,HUNDRED,100,
1000_thousand,thousand,1843,THOUSAND,1000,
1000000000_billion,billion,3599,BILLION,1000000000,
100_onehundred,one hundred,,ONE HUNDRED,100,
200_twohundred,two hundred,2676,TWO HUNDRED,200,
300_threehundred,three hundred,3513,THREE HUNDRED,300,
400_fourhundred,four hundred,3515,FOUR HUNDRED,400,
500_fivehundred,five hundred,3516,FIVE HUNDRED,500,
600_sixhundred,six hundred,3517,SIX HUNDRED,600,
1000_onethousand,one thousand,,ONE THOUSAND,1000,
2000_twothousand,two thousand,3524,TWO THOUSAND,2000,
3000_threethousand,three thousand,3525,THREE THOUSAND,3000,
4000_fourthousand,four thousand,3526,FOUR THOUSAND,4000,
5000_fivethousand,five thousand,3527,FIVE THOUSAND,5000,
6000_sixthousand,six thousand,3792,SIX THOUSAND,6000,
180_onehundredeighty,one hundred eighty,3510,ONE HUNDRED AND EIGHTY,180,
221_twohundredtwentyone,two hundred twenty one,,TWO HUNDRED TWENTY ONE,221,
506_fivehundredsix,five hundred six,,FIVE HUNDRED SIX,506,
3048_threethousandfortyeight,three thousand forty eight,,THREE THOUSAND FORTY EIGHT,3048,
6900_sixthousandninehundred,six thousand nine hundred,,SIX THOUSAND NINE HUNDRED,6900,
7422_seventhousandfourhundredtwentytwo,seven thousand four hundred twenty two,,SEVEN THOUSAND FOUR HUNDRED TWENTY TWO,7422,
6008_sixthousandeight,six thousand eight,,SIX THOUSAND EIGHT,6008,
